2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 19/166: chatbot_column_corrections - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 20/166: chatbot_feedback - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 21/166: chatbot_query_patterns - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 22/166: chatbot_sql_queries - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 23/166: config_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 24/166: controller_reservations_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 25/166: dashboard_access_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 26/166: dashboard_bot_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 27/166: dashboard_breadcrumb_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 28/166: dashboard_config - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 29/166: dashboard_grid_points_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 30/166: dashboard_log_bot_charging - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 31/166: dashboard_log_error_api - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 32/166: dashboard_log_location_block_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 33/166: dashboard_log_maintenance_task_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 34/166: dashboard_log_manual_task_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 35/166: dashboard_log_user_login_attempts - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 36/166: dashboard_log_wave_process - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 37/166: dashboard_manual_task_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 38/166: dashboard_master_data - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 39/166: dashboard_menu_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 40/166: dashboard_report_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 41/166: dashboard_report_role_mapping - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 42/166: dashboard_role_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 43/166: dashboard_role_menu_access_mapping - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 44/166: dashboard_tab_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 45/166: dashboard_table_columns_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 46/166: dashboard_table_header_json_master - Using VERIFIED description
2026-02-14 00:28:36 - app.services.schema_generator_service - INFO - ✅ 47/166: dashboard_table_header_json_user_mapping - Using VERIFIED description
